iter	Passed	Remaining
143	284	1691
144	285	1683
145	286	1674
146	287	1667
147	288	1659
148	289	1654
149	291	1653
150	292	1646
151	293	1639
152	294	1631
153	295	1623
154	296	1616
155	297	1608
156	298	1601
157	299	1594
158	300	1587
159	300	1579
160	301	1572
161	302	1564
162	303	1559
163	305	1556
164	307	1553
165	308	1547
166	308	1540
167	309	1533
168	310	1526
169	311	1519
170	312	1514
171	313	1507
172	313	1501
173	314	1493
174	315	1486
175	316	1480
176	316	1473
177	318	1469
178	320	1468
179	321	1465
180	322	1457
181	322	1451
182	323	1445
183	324	1439
184	325	1433
185	326	1427
186	326	1421
187	327	1415
188	328	1409
189	329	1403
190	330	1398
191	331	1393
192	332	1389
193	333	1387
194	335	1386
195	336	1381
196	337	1375
197	344	1394
198	345	1389
199	346	1384
200	346	1378
201	348	1375
202	350	1376
203	351	1372
204	352	1366
205	353	1361
206	354	1357
207	355	1353
208	356	1347
209	356	1342
210	357	1337
211	358	1332
212	359	1326
213	359	1321
214	360	1316
215	361	1312
216	362	1309
217	365	1309
218	366	1306
219	367	1301
220	368	1297
221	368	1292
222	369	1287
223	370	1282
224	370	1277
225	371	1273
226	372	1268
227	373	1263
228	374	1259
229	374	1255
230	375	1250
231	376	1246
232	377	1243
233	379	1241
234	381	1241
235	382	1237
236	383	1233
237	384	1230
238	384	1225
239	385	1221
240	386	1217
241	387	1213
242	388	1209
243	388	1204
244	389	1200
245	390	1196
246	391	1192
247	392	1189
248	393	1188
249	395	1187
250	396	1184
251	397	1180
252	398	1176
253	399	1173
254	400	1169
255	400	1165
256	401	1161
257	402	1157
258	403	1153
259	403	1149
260	404	1145
261	405	1142
262	406	1139
263	407	1137
264	410	1139
265	411	1136
266	412	1133
267	413	1129
268	414	1125
269	415	1122
270	415	1118
271	416	1115
272	417	1111
273	418	1108
274	419	1104
275	419	1101
276	420	1097
277	421	1094
278	422	1091
279	424	1091
280	425	1089
281	426	1087
282	427	1083
283	428	1080
284	429	1076
285	430	1073
286	430	1070
287	431	1067
288	432	1063
289	433	1060
290	433	1057
291	434	1054
292	435	1051
293	437	1049
294	439	1049
295	440	1048
296	441	1045
297	442	1042
298	443	1039
299	444	1036
300	445	1033
301	446	1030
302	446	1027
303	447	1024
304	448	1021
305	449	1018
306	449	1015
307	450	1012
308	452	1010
309	454	1012
310	456	1010
311	457	1008
312	458	1005
313	459	1003
314	459	1000
315	460	997
316	461	994
317	462	991
318	463	988
319	464	986
320	464	983
321	465	980
322	466	978
323	468	978
324	470	976
325	470	973
326	471	970
327	472	968
328	473	965
329	474	962
330	474	959
331	475	956
332	476	954
333	477	951
334	478	949
335	478	946
336	479	944
337	481	942
338	483	942
339	484	940
340	485	938
341	486	935
342	486	932
343	487	930
344	488	927
345	489	924
346	490	922
347	490	919
348	491	916
349	492	914
350	493	911
351	493	909
352	494	906
353	495	903
354	497	903
355	499	903
356	500	901
357	501	898
358	501	895
359	502	893
360	503	890
361	503	887
362	504	885
363	505	882
364	506	880
365	507	878
366	508	876
367	508	873
368	509	871
369	510	869
370	512	869
371	514	868
372	515	866
373	516	863
374	516	861
375	517	859
376	518	856
377	519	854
378	520	852
379	521	850
380	521	848
381	522	845
382	523	843
383	524	841
384	525	840
385	528	840
386	529	838
387	530	836
388	531	834
389	532	832
390	533	830
391	533	828
392	534	826
393	535	823
394	536	821
395	537	819
396	538	817
397	538	815
398	539	812
399	540	811
400	542	810
401	544	809
402	544	807
403	545	805
404	546	803
405	547	800
406	548	798
407	549	796
408	550	794
409	550	792
410	551	790
411	552	788
412	553	786
413	554	784
414	555	783
415	557	782
416	559	781
417	559	779
418	560	777
419	561	775
420	562	773
421	563	771
422	564	769
423	565	767
424	566	765
425	567	763
426	567	762
427	568	760
428	570	758
429	571	758
430	573	757
431	574	755
432	575	753
433	576	751
434	577	749
435	578	747
436	578	745
437	579	743
438	580	742
439	581	740
440	582	738
441	583	736
442	584	734
443	585	733
444	588	733
445	589	731
446	589	729
447	590	727
448	591	725
449	592	724
450	593	722
451	594	720
452	594	718
453	595	716
454	596	714
455	597	712
456	598	710
457	599	709
458	601	708
459	602	707
460	603	705
461	604	704
462	605	702
463	606	700
464	607	698
465	608	696
466	608	694
467	609	693
468	610	691
469	611	689
470	612	687
471	612	685
472	613	683
473	614	682
474	616	681
475	618	680
476	619	679
477	620	677
478	621	675
479	622	674
480	623	672
481	623	670
482	624	668
483	625	666
484	626	665
485	627	663
486	627	661
487	628	659
488	630	658
489	632	658
490	633	657
491	634	655
492	635	653
493	636	651
494	637	650
495	638	648
496	638	646
497	639	644
498	640	643
499	641	641
500	642	639
501	642	637
502	643	636
503	645	634
504	647	634
505	648	633
506	649	631
507	650	629
508	651	628
509	651	626
510	652	624
511	653	622
512	654	621
513	655	619
514	656	617
515	656	616
516	657	614
517	658	612
518	659	611
519	661	610
520	663	609
521	663	607
522	664	606
523	665	604
524	666	603
525	667	601
526	668	599
527	669	598
528	670	596
529	671	595
530	672	593
531	672	591
532	674	590
533	676	590
534	678	589
535	679	587
536	679	586
537	680	584
538	681	583
539	682	581
540	683	579
541	684	578
542	684	576
543	685	574
544	686	573
545	687	571
546	688	570
547	689	569
548	691	568
549	692	566
550	693	565
551	694	563
552	695	562
553	696	560
554	697	559
555	698	557
556	699	556
557	700	554
558	700	552
559	701	551
560	702	550
561	704	548
562	706	548
563	707	547
564	708	545
565	709	543
566	710	542
567	711	541
568	712	539
569	713	538
570	714	536
571	715	535
572	716	533
573	717	532
574	718	531
575	721	531
576	722	529
577	723	528
578	724	526
579	725	525
580	725	523
581	726	521
582	727	520
583	728	518
584	729	517
585	730	516
586	731	514
587	733	513
588	735	513
589	736	512
590	737	510
591	738	509
592	739	507
593	740	506
594	741	504
595	742	502
596	742	501
597	743	500
598	744	498
599	745	497
600	746	495
601	748	494
602	751	495
603	753	493
604	753	492
605	754	490
606	755	489
607	756	487
608	757	486
609	758	485
610	759	483
611	760	482
612	761	481
613	763	480
614	766	480
615	767	478
616	768	477
617	769	475
618	770	474
619	772	473
620	773	471
621	773	470
622	774	468
623	776	467
624	777	466
625	779	465
626	780	464
627	782	463
628	783	461
629	784	460
630	785	459
631	785	457
632	787	456
633	788	454
634	788	453
635	789	451
636	790	450
637	791	449
638	793	448
639	795	447
640	796	446
641	797	444
642	797	443
643	798	441
644	799	440
645	800	438
646	801	437
647	802	435
648	803	434
649	803	432
650	804	431
651	805	430
652	806	428
653	808	427
654	810	427
655	811	425
656	812	424
657	813	422
658	814	421
659	815	419
660	816	418
661	816	417
662	817	415
663	818	414
664	819	412
665	820	411
666	821	410
667	823	409
668	825	408
669	826	406
670	826	405
671	827	404
672	828	402
673	829	401
674	830	399
675	831	398
676	831	396
677	832	395
678	833	394
679	834	392
680	835	391
681	836	389
682	837	388
683	839	387
684	840	386
685	840	384
686	841	383
687	842	382
688	843	380
689	844	379
690	845	377
691	846	376
692	846	375
693	847	373
694	848	372
695	849	370
696	850	369
697	851	368
698	853	367
699	855	366
700	855	365
701	856	363
702	857	362
703	858	360
704	859	359
705	859	357
706	860	356
707	861	355
708	862	353
709	862	352
710	863	351
711	864	349
712	865	348
713	867	347
714	869	346
715	870	345
716	871	343
717	872	342
718	873	341
719	874	339
720	874	338
721	875	337
722	876	335
723	877	334
724	878	333
725	878	331
726	879	330
727	880	329
728	884	328
729	885	327
730	886	326
731	886	324
732	887	323
733	888	322
734	889	320
735	890	319
736	891	317
737	891	316
738	892	315
739	893	313
740	894	312
741	895	311
742	896	309
743	898	309
744	899	307
745	900	306
746	901	305
747	902	303
748	902	302
749	903	301
750	904	299
751	905	298
752	906	297
753	906	295
754	907	294
755	908	293
756	909	291
757	910	290
758	911	289
759	913	288
760	914	287
761	915	285
762	916	284
763	917	283
764	918	282
765	918	280
766	919	279
767	920	278
768	921	276
769	922	275
770	923	274
771	924	273
772	925	271
773	927	270
774	929	269
775	930	268
776	931	267
777	932	265
778	932	264
779	934	263
780	935	262
781	936	260
782	937	259
783	937	258
784	938	257
785	940	255
786	942	254
787	944	254
788	945	252
789	946	251
790	946	250
791	947	248
792	948	247
793	949	246
794	950	245
795	951	243
796	951	242
797	952	241
798	953	239
799	954	238
800	956	237
801	958	236
802	959	235
803	959	234
804	960	232
805	961	231
806	962	230
807	963	228
808	964	227
809	964	226
810	965	225
811	966	223
812	967	222
813	968	221
814	969	219
815	970	218
816	972	217
817	973	216
818	974	215
819	975	214
820	975	212
821	976	211
822	977	210
823	978	209
824	979	207
825	980	206
826	981	205
827	981	203
828	982	202
829	983	201
830	984	200
831	985	199
832	988	198
833	989	196
834	990	195
835	990	194
836	991	193
837	992	191
838	993	190
839	994	189
840	995	188
841	996	186
842	996	185
843	997	184
844	998	183
845	999	182
846	1002	181
847	1003	179
848	1004	178
849	1005	177
850	1006	176
851	1007	174
852	1007	173
853	1008	172
854	1009	171
855	1010	169
856	1011	168
857	1012	167
858	1013	166
859	1013	165
860	1014	163
861	1016	162
862	1017	161
863	1018	160
864	1019	159
865	1020	157
866	1021	156
867	1022	155
868	1023	154
869	1024	153
870	1024	151
871	1025	150
872	1026	149
873	1027	148
874	1028	146
875	1029	145
876	1031	144
877	1033	143
878	1034	142
879	1034	141
880	1035	139
881	1036	138
882	1037	137
883	1038	136
884	1038	134
885	1039	133
886	1040	132
887	1041	131
888	1042	130
889	1043	128
890	1044	127
891	1045	126
892	1047	125
893	1048	124
894	1049	123
895	1050	121
896	1051	120
897	1052	119
898	1052	118
899	1053	117
900	1054	115
901	1055	114
902	1055	113
903	1056	112
904	1057	111
905	1058	109
906	1059	108
907	1061	107
908	1063	106
909	1063	105
910	1064	103
911	1065	102
912	1066	101
913	1067	100
914	1067	99
915	1068	98
916	1069	96
917	1070	95
918	1071	94
919	1072	93
920	1072	92
921	1074	90
922	1075	89
923	1077	88
924	1078	87
925	1079	86
926	1080	85
927	1081	83
928	1082	82
929	1083	81
930	1084	80
931	1085	79
932	1086	78
933	1087	76
934	1087	75
935	1088	74
936	1091	73
937	1092	72
938	1093	71
939	1094	69
940	1095	68
941	1095	67
942	1096	66
943	1097	65
944	1098	63
945	1099	62
946	1100	61
947	1100	60
948	1101	59
949	1102	58
950	1103	56
951	1105	55
952	1107	54
953	1108	53
954	1108	52
955	1109	51
956	1110	49
957	1111	48
958	1112	47
959	1113	46
960	1113	45
961	1114	44
962	1115	42
963	1116	41
964	1116	40
965	1117	39
966	1118	38
967	1121	37
968	1122	35
969	1123	34
970	1124	33
971	1124	32
972	1125	31
973	1126	30
974	1127	28
975	1127	27
976	1128	26
977	1129	25
978	1130	24
979	1131	23
980	1131	21
981	1132	20
982	1133	19
983	1135	18
984	1136	17
985	1137	16
986	1138	14
987	1139	13
988	1140	12
989	1141	11
990	1141	10
991	1142	9
992	1143	8
993	1144	6
994	1145	5
995	1145	4
996	1146	3
997	1147	2
998	1149	1
999	1151	0
